Cycle Nr.,Time [s],Temp. [°C],A7,A8,A9,A10,A11,A12
210,2240.006,36.8,0.0758,0.1326,0.1025,0.0661,0.0527,0.0605
211,2250.705,37,0.0797,0.1339,0.1034,0.0672,0.0528,0.0607
212,2261.398,37,0.076,0.1319,0.1052,0.066,0.0546,0.0606
213,2272.13,36.8,0.0753,0.1317,0.1057,0.0662,0.0527,0.0606
214,2282.874,37,0.0751,0.1317,0.107,0.066,0.0525,0.0606
215,2293.612,36.9,0.0755,0.1319,0.1076,0.0662,0.0525,0.0605
216,2304.354,36.8,0.075,0.1319,0.1083,0.0661,0.0527,0.0607
217,2315.089,36.9,0.0754,0.1314,0.1097,0.0662,0.0526,0.0605
218,2325.809,36.9,0.0753,0.132,0.1106,0.0662,0.0527,0.0606
219,2336.543,36.9,0.0743,0.133,0.1114,0.0714,0.053,0.0605
220,2347.288,36.9,0.0753,0.1323,0.1129,0.0662,0.0527,0.0605
221,2358.027,36.9,0.0744,0.131,0.1137,0.0715,0.0526,0.0605
222,2368.757,36.9,0.0751,0.1323,0.1148,0.0663,0.0527,0.0606
223,2379.489,36.9,0.0738,0.1312,0.1159,0.068,0.0527,0.0605
224,2390.217,37,0.0748,0.1307,0.1168,0.0663,0.0528,0.0607
225,2400.939,36.9,0.0748,0.1314,0.1176,0.0662,0.0526,0.0607
226,2411.641,36.9,0.0747,0.1323,0.1185,0.0665,0.056,0.0606
227,2422.338,36.9,0.0741,0.132,0.1197,0.0662,0.0527,0.0606
228,2433.037,36.9,0.0752,0.13,0.1207,0.0676,0.0538,0.0607
229,2443.736,36.9,0.074,0.1315,0.1219,0.0663,0.0528,0.0607
230,2454.449,36.8,0.0733,0.1315,0.1231,0.0664,0.0525,0.0605
231,2465.182,36.9,0.0742,0.1296,0.1251,0.0664,0.0526,0.0605
232,2475.913,36.9,0.0735,0.1294,0.1252,0.0664,0.0527,0.0607
233,2486.63,36.8,0.075,0.13,0.1259,0.0663,0.0526,0.0605
234,2497.365,36.8,0.0743,0.131,0.1268,0.0665,0.0526,0.0606
235,2508.093,36.9,0.0742,0.13,0.1282,0.0665,0.0526,0.0605
236,2518.824,36.7,0.0751,0.1288,0.1285,0.0665,0.0525,0.0604
237,2529.547,36.9,0.0736,0.13,0.1292,0.0665,0.0528,0.0606
238,2540.269,36.9,0.0737,0.1286,0.1307,0.0664,0.0525,0.0606
239,2551,36.7,0.0738,0.1302,0.1314,0.0665,0.0526,0.0605
240,2561.706,36.8,0.0737,0.1286,0.1319,0.0673,0.0526,0.0605
